Unnamed: 0,Title,Battery Size (kWh),Top Speed (km/h),Range (km),Efficiency (Wh/km),Fastcharge Speed (km/h), price ,price,price_cleaned,Cluster
32,MG ZS EV Long Range,68.3,175,370.0,185.0,420.0," £32,995.00 ",32995.0,32995.0,0
33,Peugeot e-208,46.3,150,285.0,162.0,460.0," £31,595.00 ",31595.0,31595.0,0
34,Audi Q4 e-tron 40,76.6,160,405.0,189.0,630.0," £50,630.00 ",50630.0,50630.0,0
35,Volkswagen ID.4 Pro Performance,77.0,160,410.0,188.0,630.0," £46,035.00 ",46035.0,46035.0,0
36,BMW iX xDrive50,105.2,200,505.0,208.0,680.0," £1,02,755.00 ",102755.0,102755.0,2
37,BMW i7 xDrive60,101.7,240,510.0,199.0,760.0," £1,13,970.00 ",113970.0,113970.0,2
38,BMW i4 M50,80.7,225,450.0,179.0,700.0," £71,085.00 ",71085.0,71085.0,0
39,Volkswagen ID.4 Pro,77.0,160,410.0,188.0,630.0," £44,605.00 ",44605.0,44605.0,0
40,BMW i4 eDrive35,67.0,190,430.0,156.0,580.0," £49,995.00 ",49995.0,49995.0,0
42,BMW iX3,74.0,180,385.0,192.0,520.0," £64,165.00 ",64165.0,64165.0,0
43,MG MG4 Electric 51 kWh,50.8,160,300.0,169.0,340.0," £26,995.00 ",26995.0,26995.0,0
44,Volkswagen ID.3 Pro,58.0,160,350.0,166.0,450.0," £37,115.00 ",37115.0,37115.0,0
45,Toyota bZ4X FWD,64.0,160,340.0,188.0,510.0," £46,110.00 ",46110.0,46110.0,0
46,Lexus RZ 450e,64.0,160,320.0,200.0,480.0," £64,500.00 ",64500.0,64500.0,0
47,Kia EV6 GT,74.0,260,360.0,206.0,940.0," £62,645.00 ",62645.0,62645.0,0
48,Mini Cooper SE,28.9,150,180.0,161.0,260.0," £32,550.00 ",32550.0,32550.0,0
49,Jeep Avenger Electric,50.8,150,300.0,169.0,480.0," £35,700.00 ",35700.0,35700.0,0
50,Volkswagen ID.7 Pro,77.0,180,475.0,162.0,710.0," £53,000.00 ",53000.0,53000.0,0
51,Kia EV6 Long Range 2WD,74.0,185,410.0,180.0,1070.0," £45,245.00 ",45245.0,45245.0,0
52,Volkswagen ID. Buzz Pro,77.0,145,345.0,223.0,480.0," £58,915.00 ",58915.0,58915.0,0
53,Audi Q8 e-tron 55 quattro,106.0,200,495.0,214.0,630.0," £77,800.00 ",77800.0,77800.0,2
54,Volvo EX30 Single Motor,49.0,180,280.0,175.0,430.0," £33,795.00 ",33795.0,33795.0,0
55,Fiat 500e Hatchback 42 kWh,37.3,150,235.0,159.0,390.0," £31,195.00 ",31195.0,31195.0,0
56,Opel Astra Electric,50.8,170,310.0,164.0,500.0," £39,995.00 ",39995.0,39995.0,0
57,Tesla Model X Dual Motor,95.0,250,475.0,200.0,660.0," £1,05,000.00 ",105000.0,105000.0,2
58,Nissan Leaf,39.0,144,235.0,166.0,230.0," £28,995.00 ",28995.0,28995.0,0
59,Volkswagen ID.4 Pure,52.0,160,285.0,182.0,360.0," £38,845.00 ",38845.0,38845.0,0
60,Nissan Ariya 87kWh,87.0,160,450.0,193.0,540.0," £44,645.00 ",44645.0,44645.0,0
61,MG MG4 Electric 77 kWh,74.4,180,425.0,175.0,430.0," £36,495.00 ",36495.0,36495.0,0
62,CUPRA Born 150 kW - 58 kWh,58.0,160,350.0,166.0,470.0," £36,475.00 ",36475.0,36475.0,0
63,Hyundai Kona Electric 65 kWh,65.4,170,390.0,168.0,400.0," £38,595.00 ",38595.0,38595.0,0
64,BMW i5 eDrive40 Sedan,81.2,193,475.0,171.0,710.0," £74,105.00 ",74105.0,74105.0,2
65,BYD DOLPHIN 60.4 kWh,60.5,160,340.0,178.0,340.0," £31,000.00 ",31000.0,31000.0,0
66,Opel Mokka-e,46.3,150,260.0,178.0,420.0," £38,835.00 ",38835.0,38835.0,0
67,Hyundai IONIQ 6 Long Range 2WD,74.0,185,495.0,149.0,1290.0," £47,040.00 ",47040.0,47040.0,0
68,MG MG4 Electric XPOWER,61.7,200,320.0,193.0,490.0," £36,495.00 ",36495.0,36495.0,0
69,MG MG5 Electric Long Range,57.4,185,335.0,171.0,330.0," £30,995.00 ",30995.0,30995.0,0
70,Mercedes EQA 250+,70.5,160,420.0,168.0,580.0," £49,750.00 ",49750.0,49750.0,0
71,Skoda Enyaq iV 60,58.0,160,340.0,171.0,460.0," £38,970.00 ",38970.0,38970.0,0
73,Tesla Model X Plaid,95.0,262,455.0,209.0,630.0," £1,20,000.00 ",120000.0,120000.0,2
74,Volkswagen ID.7 Pro S,86.0,180,520.0,165.0,800.0," £56,000.00 ",56000.0,56000.0,0
75,Rolls-Royce Spectre,100.0,250,455.0,220.0,540.0," £3,50,000.00 ",350000.0,350000.0,1
76,Fisker Ocean Ultra,106.5,200,535.0,199.0,640.0," £49,880.00 ",49880.0,49880.0,0
77,Hyundai IONIQ 5 Long Range 2WD,74.0,185,390.0,190.0,1020.0," £46,945.00 ",46945.0,46945.0,0
78,Citroen e-C4,46.3,150,290.0,160.0,460.0," £31,995.00 ",31995.0,31995.0,0
80,BYD DOLPHIN 44.9 kWh Active,44.9,150,255.0,176.0,260.0," £26,000.00 ",26000.0,26000.0,0
81,Polestar 2 Long Range Single Motor,79.0,205,455.0,174.0,680.0," £48,950.00 ",48950.0,48950.0,0
83,Volvo EX30 Twin Motor Performance,64.0,180,360.0,178.0,540.0," £40,995.00 ",40995.0,40995.0,0
86,Renault Zoe ZE50 R135,52.0,140,310.0,168.0,230.0," £29,995.00 ",29995.0,29995.0,0
87,Lotus Eletre,109.0,250,495.0,220.0,1040.0," £89,500.00 ",89500.0,89500.0,2
88,Kia EV6 Long Range AWD,74.0,185,400.0,185.0,1050.0," £51,745.00 ",51745.0,51745.0,0
89,CUPRA Born 170 kW - 77 kWh,77.0,160,450.0,171.0,630.0," £41,975.00 ",41975.0,41975.0,0
90,Opel Corsa-e,46.3,150,295.0,157.0,470.0," £33,930.00 ",33930.0,33930.0,0
91,BMW iX M60,105.2,250,485.0,217.0,650.0," £1,22,775.00 ",122775.0,122775.0,2
92,Volvo XC40 Recharge Twin Motor,79.0,180,390.0,203.0,580.0," £51,755.00 ",51755.0,51755.0,0
93,Hyundai IONIQ 5 Long Range AWD,74.0,185,385.0,192.0,1010.0," £50,445.00 ",50445.0,50445.0,0
94,Tesla Model Y,57.5,217,350.0,164.0,580.0," £44,990.00 ",44990.0,44990.0,0
95,Mazda MX-30,30.0,140,170.0,176.0,210.0," £31,250.00 ",31250.0,31250.0,0
96,Polestar 4 Long Range Dual Motor,94.0,200,475.0,198.0,710.0," £60,000.00 ",60000.0,60000.0,0
97,Mercedes EQB 350 4MATIC,66.5,160,340.0,196.0,490.0," £56,810.00 ",56810.0,56810.0,0
99,Subaru Solterra AWD,64.0,160,320.0,200.0,480.0," £49,995.00 ",49995.0,49995.0,0
102,Mercedes EQE 300,89.0,210,515.0,173.0,650.0," £74,345.00 ",74345.0,74345.0,2
104,Maxus MIFA 9,90.0,180,345.0,261.0,290.0," £65,290.00 ",65290.0,65290.0,0
107,Polestar 4 Long Range Single Motor,94.0,180,510.0,184.0,760.0," £55,000.00 ",55000.0,55000.0,0
108,Hyundai IONIQ 5 Standard Range 2WD,54.0,185,295.0,183.0,720.0," £43,445.00 ",43445.0,43445.0,0
109,Audi e-tron GT quattro,85.0,245,420.0,202.0,1030.0," £87,800.00 ",87800.0,87800.0,2
111,Fisker Ocean One,106.5,205,530.0,201.0,630.0," £60,880.00 ",60880.0,60880.0,0
112,Audi Q8 e-tron Sportback 55 quattro,106.0,200,525.0,202.0,660.0," £80,300.00 ",80300.0,80300.0,2
113,Skoda Enyaq Coupe iV RS,77.0,180,435.0,177.0,600.0," £54,370.00 ",54370.0,54370.0,0
115,Audi Q8 e-tron 50 quattro,89.0,200,420.0,212.0,650.0," £67,800.00 ",67800.0,67800.0,0
116,BMW iX1 eDrive20,64.7,170,385.0,168.0,550.0," £44,560.00 ",44560.0,44560.0,0
117,Smart #1 Brabus,62.0,180,315.0,197.0,490.0," £43,450.00 ",43450.0,43450.0,0
118,Volkswagen ID.3 Pro S - 4 Seats,77.0,160,455.0,169.0,680.0," £42,870.00 ",42870.0,42870.0,0
120,Peugeot e-308,50.8,170,300.0,169.0,450.0," £37,000.00 ",37000.0,37000.0,0
121,Mercedes EQS SUV 580 4MATIC,108.4,210,485.0,224.0,630.0," £1,39,470.00 ",139470.0,139470.0,2
122,Nissan Leaf e+,59.0,157,340.0,174.0,240.0," £34,945.00 ",34945.0,34945.0,0
124,Audi Q4 e-tron 50 quattro,76.6,180,385.0,199.0,550.0," £57,010.00 ",57010.0,57010.0,0
126,Volkswagen ID.4 GTX,77.0,180,400.0,193.0,560.0," £52,865.00 ",52865.0,52865.0,0
127,Mercedes EQB 300 4MATIC,66.5,160,340.0,196.0,490.0," £55,310.00 ",55310.0,55310.0,0
128,Fiat 600e,50.8,150,305.0,167.0,490.0," £31,000.00 ",31000.0,31000.0,0
131,Skoda Enyaq Coupe iV 80,77.0,160,465.0,166.0,720.0," £44,825.00 ",44825.0,44825.0,0
132,Mercedes EQV 300 Long,90.0,160,310.0,290.0,310.0," £87,995.00 ",87995.0,87995.0,2
134,Polestar 3 Long Range Dual motor,107.0,210,490.0,218.0,640.0," £79,900.00 ",79900.0,79900.0,2
135,Fisker Ocean Sport,75.0,160,380.0,197.0,480.0," £35,970.00 ",35970.0,35970.0,0
136,Toyota bZ4X AWD,64.0,160,315.0,203.0,470.0," £52,510.00 ",52510.0,52510.0,0
138,Volvo XC40 Recharge Single Motor,66.0,180,345.0,191.0,420.0," £46,505.00 ",46505.0,46505.0,0
139,MG ZS EV Standard Range,49.0,175,265.0,185.0,250.0," £30,495.00 ",30495.0,30495.0,0
140,Skoda Enyaq iV 80x,77.0,160,425.0,181.0,590.0," £50,805.00 ",50805.0,50805.0,0
141,Smart #3,62.0,180,355.0,175.0,550.0," £37,000.00 ",37000.0,37000.0,0
142,Mini Cooper SE,49.0,170,310.0,158.0,440.0," £34,500.00 ",34500.0,34500.0,0
143,Polestar 2 Long Range Dual Motor,79.0,205,440.0,180.0,660.0," £52,950.00 ",52950.0,52950.0,0
144,Citroen e-C4 X,46.3,150,275.0,168.0,440.0," £31,995.00 ",31995.0,31995.0,0
145,Ford Mustang Mach-E ER RWD,91.0,180,480.0,190.0,420.0," £59,380.00 ",59380.0,59380.0,0
149,Polestar 2 Standard Range Single Motor,67.0,205,390.0,172.0,460.0," £44,950.00 ",44950.0,44950.0,0
151,Kia EV9 99.8 kWh RWD,95.0,185,445.0,213.0,810.0," £64,995.00 ",64995.0,64995.0,0
153,BYD DOLPHIN 44.9 kWh Boost,44.9,160,255.0,176.0,260.0," £28,500.00 ",28500.0,28500.0,0
154,Peugeot e-2008 54 kWh,50.8,150,300.0,169.0,480.0," £36,350.00 ",36350.0,36350.0,0
156,Fisker Ocean Extreme,106.5,205,530.0,201.0,630.0," £60,880.00 ",60880.0,60880.0,0
157,BMW i5 M60 xDrive Sedan,81.2,230,425.0,191.0,630.0," £97,745.00 ",97745.0,97745.0,2
158,Jaguar I-Pace EV400,84.7,200,380.0,223.0,360.0," £69,995.00 ",69995.0,69995.0,0
159,Volkswagen ID.5 Pro,77.0,160,430.0,179.0,660.0," £50,710.00 ",50710.0,50710.0,0
160,Mercedes EQE SUV 350 4MATIC,90.6,210,435.0,208.0,650.0," £90,560.00 ",90560.0,90560.0,2
161,Peugeot e-308 SW,50.8,150,300.0,169.0,450.0," £38,000.00 ",38000.0,38000.0,0
163,Audi SQ8 e-tron,106.0,210,455.0,233.0,570.0," £97,500.00 ",97500.0,97500.0,2
166,CUPRA Tavascan VZ,77.0,180,410.0,188.0,610.0," £55,000.00 ",55000.0,55000.0,0
168,Mercedes EQS AMG 53 4MATIC+,107.8,250,540.0,200.0,810.0," £1,61,860.00 ",161860.0,161860.0,1
169,Volvo C40 Recharge Twin Motor,79.0,180,400.0,198.0,600.0," £53,605.00 ",53605.0,53605.0,0
170,Nissan Ariya 63kWh,63.0,160,335.0,188.0,450.0," £39,645.00 ",39645.0,39645.0,0
172,Volvo EX90 Twin Motor,107.0,180,465.0,230.0,610.0," £96,255.00 ",96255.0,96255.0,2
173,Peugeot e-208 51 kWh,48.1,150,310.0,155.0,480.0," £35,000.00 ",35000.0,35000.0,0
174,Opel Corsa Electric 51 kWh,48.1,150,315.0,153.0,490.0," £35,475.00 ",35475.0,35475.0,0
176,ORA Funky Cat 48 kWh,45.4,160,260.0,175.0,240.0," £31,995.00 ",31995.0,31995.0,0
177,Honda e Advance,28.5,145,170.0,168.0,180.0," £37,395.00 ",37395.0,37395.0,0
178,Opel Astra Sports Tourer Electric,50.8,170,300.0,169.0,480.0," £42,000.00 ",42000.0,42000.0,0
179,Lotus Eletre R,109.0,260,455.0,240.0,950.0," £1,20,000.00 ",120000.0,120000.0,2
180,Mercedes EQA 350 4MATIC,66.5,160,350.0,190.0,500.0," £54,510.00 ",54510.0,54510.0,0
182,Mercedes EQA 250+,70.5,160,425.0,166.0,590.0," £50,000.00 ",50000.0,50000.0,0
184,Volkswagen ID.4 Pure Performance,52.0,160,285.0,182.0,360.0," £40,275.00 ",40275.0,40275.0,0
186,Mercedes EQE SUV 500 4MATIC,90.6,210,435.0,208.0,650.0," £1,08,760.00 ",108760.0,108760.0,2
187,Audi Q4 Sportback e-tron 40,76.6,160,425.0,180.0,660.0," £52,130.00 ",52130.0,52130.0,0
191,Hyundai Kona Electric 48 kWh,48.4,160,295.0,164.0,280.0," £34,995.00 ",34995.0,34995.0,0
192,Porsche Taycan Plus,83.7,230,485.0,173.0,1190.0," £83,654.00 ",83654.0,83654.0,2
193,Mercedes EQA 300 4MATIC,66.5,160,350.0,190.0,500.0," £53,010.00 ",53010.0,53010.0,0
194,CUPRA Tavascan Endurance,77.0,180,425.0,181.0,630.0," £50,000.00 ",50000.0,50000.0,0
196,Kia EV9 99.8 kWh AWD GT-Line,95.0,200,415.0,229.0,750.0," £73,245.00 ",73245.0,73245.0,2
198,Mini Countryman E,64.7,170,380.0,170.0,550.0," £42,080.00 ",42080.0,42080.0,0
199,Smart #3 Brabus,62.0,180,330.0,188.0,510.0," £45,000.00 ",45000.0,45000.0,0
200,Ford Mustang Mach-E ER AWD,91.0,180,440.0,207.0,390.0," £65,405.00 ",65405.0,65405.0,0
201,Mercedes EQB 350 4MATIC,66.5,160,345.0,193.0,500.0," £57,000.00 ",57000.0,57000.0,0
202,Opel Corsa Electric 50 kWh,46.3,150,295.0,157.0,470.0," £32,445.00 ",32445.0,32445.0,0
206,Maserati GranTurismo Folgore,83.0,320,425.0,195.0,990.0," £2,00,000.00 ",200000.0,200000.0,1
214,Volkswagen ID.5 Pro Performance,77.0,160,430.0,179.0,660.0," £52,185.00 ",52185.0,52185.0,0
215,Porsche Taycan GTS,83.7,250,450.0,186.0,1110.0," £1,10,200.00 ",110200.0,110200.0,2
216,Volvo EX90 Twin Motor Performance,107.0,180,450.0,238.0,590.0," £1,00,555.00 ",100555.0,100555.0,2
217,Ford Mustang Mach-E SR RWD,70.0,180,375.0,187.0,390.0," £50,830.00 ",50830.0,50830.0,0
218,Lexus UX 300e,64.0,160,340.0,188.0,170.0," £47,495.00 ",47495.0,47495.0,0
219,DS 3 E-Tense,50.8,150,300.0,169.0,480.0," £37,200.00 ",37200.0,37200.0,0
220,BMW i7 eDrive50,101.7,205,520.0,196.0,780.0," £1,00,205.00 ",100205.0,100205.0,2
221,Volkswagen ID.5 GTX,77.0,180,405.0,190.0,560.0," £56,545.00 ",56545.0,56545.0,0
222,Volvo C40 Recharge Single Motor,66.0,180,355.0,186.0,430.0," £48,355.00 ",48355.0,48355.0,0
223,Polestar 3 Long Range Performance,107.0,210,470.0,228.0,610.0," £85,500.00 ",85500.0,85500.0,2
225,Mini Countryman SE ALL4,64.7,180,370.0,175.0,530.0," £47,180.00 ",47180.0,47180.0,0
228,Audi Q8 e-tron Sportback 50 quattro,89.0,200,445.0,200.0,690.0," £70,300.00 ",70300.0,70300.0,0
229,Mercedes EQA 250,66.5,160,405.0,164.0,580.0," £48,000.00 ",48000.0,48000.0,0
230,Ford Mustang Mach-E GT,91.0,200,425.0,214.0,380.0," £74,540.00 ",74540.0,74540.0,2
231,Porsche Taycan,71.0,230,420.0,169.0,1030.0," £79,200.00 ",79200.0,79200.0,2
232,Kia e-Soul 64 kWh,64.0,167,370.0,173.0,350.0," £39,045.00 ",39045.0,39045.0,0
236,Genesis GV60 Premium,74.0,185,390.0,190.0,1020.0," £53,905.00 ",53905.0,53905.0,0
238,Citroen e-Berlingo M 50 kWh,46.3,135,205.0,226.0,330.0," £32,315.00 ",32315.0,32315.0,0
241,Mercedes EQE AMG 53 4MATIC+,90.6,220,465.0,195.0,690.0," £1,14,750.00 ",114750.0,114750.0,2
242,Polestar 2 Long Range Performance,79.0,205,420.0,188.0,630.0," £57,950.00 ",57950.0,57950.0,0
243,Genesis GV70 Electrified Sport,74.0,235,350.0,211.0,860.0," £65,105.00 ",65105.0,65105.0,0
246,Mini Cooper E,37.0,160,235.0,157.0,360.0," £30,000.00 ",30000.0,30000.0,0
247,Audi Q4 Sportback e-tron 50 quattro,76.6,180,400.0,192.0,570.0," £58,510.00 ",58510.0,58510.0,0
249,Nissan Ariya e-4ORCE 87kWh - 225 kW,87.0,200,405.0,215.0,480.0," £50,845.00 ",50845.0,50845.0,0
251,Mercedes eVito Tourer Long 90 kWh,90.0,160,310.0,290.0,310.0," £76,368.00 ",76368.0,76368.0,2
252,Mercedes EQS SUV 450 4MATIC,108.4,210,490.0,221.0,640.0," £1,29,470.00 ",129470.0,129470.0,2
253,Peugeot e-208 50 kWh,46.3,150,290.0,160.0,460.0," £32,000.00 ",32000.0,32000.0,0
254,BMW i7 M70 xDrive,101.7,250,490.0,208.0,730.0," £1,63,315.00 ",163315.0,163315.0,1
257,Skoda Enyaq iV RS,77.0,180,420.0,183.0,580.0," £52,670.00 ",52670.0,52670.0,0
258,BYD SEAL 82.5 kWh RWD Design,82.5,180,500.0,165.0,550.0," £44,990.00 ",44990.0,44990.0,0
259,Fiat 500e Hatchback 24 kWh,21.3,135,135.0,158.0,230.0," £28,195.00 ",28195.0,28195.0,0
261,Maserati Grecale Folgore,95.0,220,405.0,235.0,440.0," £1,35,000.00 ",135000.0,135000.0,2
263,Skoda Enyaq Coupe iV 80x,77.0,160,450.0,171.0,630.0," £52,505.00 ",52505.0,52505.0,0
264,Audi SQ8 e-tron Sportback,106.0,210,480.0,221.0,610.0," £1,00,000.00 ",100000.0,100000.0,2
266,Mercedes EQB 300 4MATIC,66.5,160,345.0,193.0,500.0," £55,000.00 ",55000.0,55000.0,0
268,Porsche Taycan Turbo S,83.7,260,430.0,195.0,1060.0," £1,48,300.00 ",148300.0,148300.0,1
270,Genesis G80 Electrified Luxury,82.5,225,440.0,188.0,880.0," £69,805.00 ",69805.0,69805.0,0
271,Porsche Taycan 4S Plus,83.7,250,480.0,174.0,1180.0," £94,996.00 ",94996.0,94996.0,2
274,Fiat 500e Cabrio 42 kWh,37.3,150,230.0,162.0,380.0," £34,195.00 ",34195.0,34195.0,0
277,Mercedes EQE SUV AMG 53 4MATIC+,90.6,240,410.0,221.0,610.0," £1,33,860.00 ",133860.0,133860.0,2
278,Mini Cooper SE Convertible,28.9,150,165.0,175.0,230.0," £52,500.00 ",52500.0,52500.0,0
282,Porsche Taycan 4 Cross Turismo,83.7,220,440.0,190.0,1080.0," £88,200.00 ",88200.0,88200.0,2
283,Mercedes EQA 350 4MATIC,66.5,160,355.0,187.0,510.0," £55,000.00 ",55000.0,55000.0,0
286,Peugeot e-Rifter Standard 50 kWh,46.3,135,205.0,226.0,330.0," £33,120.00 ",33120.0,33120.0,0
289,Porsche Taycan 4S,71.0,250,415.0,171.0,1020.0," £90,700.00 ",90700.0,90700.0,2
292,CUPRA Born 170 kW - 58 kWh,58.0,160,345.0,168.0,460.0," £39,205.00 ",39205.0,39205.0,0
293,BYD SEAL 82.5 kWh AWD Excellence,82.5,180,485.0,170.0,530.0," £47,990.00 ",47990.0,47990.0,0
296,Peugeot e-Rifter Long 50 kWh,46.3,135,200.0,232.0,320.0," £35,120.00 ",35120.0,35120.0,0
297,Genesis GV60 Sport,74.0,200,380.0,195.0,990.0," £58,365.00 ",58365.0,58365.0,0
300,Opel Combo-e Life 50 kWh,46.3,135,205.0,226.0,330.0," £34,085.00 ",34085.0,34085.0,0
303,Porsche Taycan 4S Cross Turismo,83.7,240,440.0,190.0,1080.0," £95,200.00 ",95200.0,95200.0,2
304,Kia e-Soul 39.2 kWh,39.2,157,230.0,170.0,200.0," £32,845.00 ",32845.0,32845.0,0
306,Mercedes eVito Tourer Extra-Long 90 kWh,90.0,160,305.0,295.0,310.0," £83,850.00 ",83850.0,83850.0,2
307,Porsche Taycan Turbo S Sport Turismo,83.7,260,395.0,212.0,970.0," £1,49,300.00 ",149300.0,149300.0,1
308,Porsche Taycan Turbo S Cross Turismo,83.7,250,410.0,204.0,1010.0," £1,49,300.00 ",149300.0,149300.0,1
311,Mercedes EQA 300 4MATIC,66.5,160,355.0,187.0,510.0," £53,000.00 ",53000.0,53000.0,0
313,Abarth 500e Hatchback,37.8,155,225.0,168.0,370.0," £34,195.00 ",34195.0,34195.0,0
314,Porsche Taycan GTS Sport Turismo,83.7,250,425.0,197.0,1050.0," £1,11,200.00 ",111200.0,111200.0,2
317,Citroen e-Berlingo XL 50 kWh,46.3,135,205.0,226.0,330.0," £33,315.00 ",33315.0,33315.0,0
318,Genesis GV60 Sport Plus,74.0,235,365.0,203.0,950.0," £67,505.00 ",67505.0,67505.0,0
320,Peugeot e-Traveller Standard 50 kWh,46.3,130,185.0,250.0,290.0," £42,785.00 ",42785.0,42785.0,0
322,Porsche Taycan Sport Turismo,71.0,230,380.0,187.0,930.0," £80,200.00 ",80200.0,80200.0,2
323,Citroen e-SpaceTourer M 50 kWh,46.3,130,185.0,250.0,290.0," £37,045.00 ",37045.0,37045.0,0
324,Mercedes EQE 350,89.0,210,510.0,175.0,640.0," £77,345.00 ",77345.0,77345.0,2
327,Porsche Taycan Turbo,83.7,260,445.0,188.0,1090.0," £1,25,800.00 ",125800.0,125800.0,2
328,Porsche Taycan Plus Sport Turismo,83.7,230,445.0,188.0,1090.0," £84,654.00 ",84654.0,84654.0,2
330,Opel Combo-e Life XL 50 kWh,46.3,135,200.0,232.0,320.0," £34,685.00 ",34685.0,34685.0,0
333,Opel Zafira-e Life M 50 kWh,46.3,130,185.0,250.0,290.0," £42,735.00 ",42735.0,42735.0,0
334,Abarth 500e Convertible,37.8,155,225.0,168.0,370.0," £37,195.00 ",37195.0,37195.0,0
335,Porsche Taycan 4S Sport Turismo,71.0,250,370.0,192.0,910.0," £91,700.00 ",91700.0,91700.0,2
338,Opel Vivaro-e Combi M 50 kWh,46.3,130,185.0,250.0,290.0," £36,995.00 ",36995.0,36995.0,0
343,Porsche Taycan Turbo Sport Turismo,83.7,260,405.0,207.0,1000.0," £1,26,800.00 ",126800.0,126800.0,2
350,Opel Zafira-e Life L 50 kWh,46.3,130,180.0,257.0,290.0," £43,575.00 ",43575.0,43575.0,0
354,Porsche Taycan 4S Plus Sport Turismo,83.7,250,430.0,195.0,1060.0," £95,996.00 ",95996.0,95996.0,2
356,Citroen e-SpaceTourer XL 50 kWh,46.3,130,180.0,257.0,290.0," £37,885.00 ",37885.0,37885.0,0
358,Porsche Taycan Turbo Cross Turismo,83.7,250,425.0,197.0,1050.0," £1,26,800.00 ",126800.0,126800.0,2
361,Opel Vivaro-e Combi L 50 kWh,46.3,130,180.0,257.0,290.0," £37,835.00 ",37835.0,37835.0,0
366,Peugeot e-Traveller Long 50 kWh,46.3,130,185.0,250.0,290.0," £43,625.00 ",43625.0,43625.0,0
